Date,Book,Dev,ML,CP,Waste,Stats
"Dec 03, 2018",1,0.5,0,0,2,2.5
"Dec 04, 2018",0,0,0,0,5,0.5
"Dec 05, 2018",0.5,0,0,0,4,1
"Dec 06, 2018",0,0,0,0,1.5,0
"Dec 07, 2018",0,0,0,0,0,0
"Dec 13, 2018",1,0,0,1.5,4,2.5
"Dec 14, 2018",1.5,0.5,0,1.5,2,3.5
"Dec 15, 2018",1,0,0,0.5,4.5,1.5
"Dec 16, 2018",1,0,0,0.5,1.5,1.5
"Dec 17, 2018",1,0,0,2,2.5,3.5
"Dec 18, 2018",2,0,0,1.5,2,5.5
"Dec 19, 2018",2,0,0,1,2.5,3
"Dec 20, 2018",2.5,0,0,1,1,4.5
"Dec 21, 2018",1,0.5,0,1,4.5,3
"Dec 22, 2018",1,0,0,1.5,5,3
"Dec 23, 2018",2,0,0,1,1,3.5
"Dec 24, 2018",3,0,0,2,3.5,5
"Dec 25, 2018",5,0,0,0,4,5
"Dec 26, 2018",1.5,0.5,0,0.5,5.5,2.5
"Dec 27, 2018",1,3,1.5,2,2,7.5
"Dec 28, 2018",0.5,1.5,0,0.5,1,2.5
"Dec 29, 2018",3.5,0,0,0.5,2.5,4.5
"Dec 30, 2018",1,0,0.5,0,2,1.5
"Dec 31, 2018",2,0,0,0,1.5,2.5
,,,,,,
"Jan 01, 2019",2.5,3,0,0,2.5,5.5
"Jan 02, 2019",2,0,0,0,2.5,2.5
"Jan 03, 2019",2.5,0,0,0,1.5,5.5
"Jan 04, 2019",0.5,0,0,0,1.5,3
"Jan 05, 2019",0,0,0,0,0.5,0
"Jan 06, 2019",3,0,0,0,3,3
"Jan 07, 2019",1.5,0,0,0,3,1.5
"Jan 08, 2019",3.5,0,0,0,2,4
"Jan 09, 2019",3,1.5,0,0,3,4.5
"Jan 10, 2019",1.5,0,0.5,0,1.5,2
"Jan 11, 2019",0.5,0,0,0,2.5,0.5
"Jan 12, 2019",0,0,1.5,0,1.5,1.5
"Jan 13, 2019",1.5,0,0.5,0,2,2
"Jan 14, 2019",2,0,0,0,3,2.5
"Jan 15, 2019",2.5,0,0,0,2.5,2.5
"Jan 16, 2019",1.5,0,0,0,6,1.5
"Jan 17, 2019",5,0.5,0,0,1,5.5
"Jan 18, 2019",4.5,0,0,0,1.5,5
"Jan 19, 2019",2.5,3.5,0,0,0,6
"Jan 20, 2019",1.5,4.5,0,0,0,6
